TSP instances (optimal),Algorithm,Min Cost,Avg Cost,Inaccuracy
kroA100(21282),"RL+GA, Method=double_q_learning_rl, Gamma=0.15, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",25490,27035,19.8
kroA100(21282),"RL+GA, Method=double_q_learning_rl, Gamma=0.3, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",25974,29200,22.0
kroA100(21282),"RL+GA, Method=double_q_learning_rl, Gamma=0.3, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",24827,29133,16.7
kroA100(21282),"RL+GA, Method=q_learning_rl, Gamma=0.01, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",22890,23583,7.6
kroA100(21282),"RL+GA, Method=q_learning_rl, Gamma=0.01, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",22469,23283,5.6
kroA100(21282),"RL+GA, Method=q_learning_rl, Gamma=0.15, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",24610,27088,15.6
kroA100(21282),"RL+GA, Method=q_learning_rl, Gamma=0.15, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",25490,27035,19.8
kroA100(21282),"RL+GA, Method=q_learning_rl, Gamma=0.3, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",25974,29200,22.0
kroA100(21282),"RL+GA, Method=q_learning_rl, Gamma=0.3, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",24827,29133,16.7
kroA100(21282),"RL+GA, Method=sarsa_rl, Gamma=0.01, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",23077,24002,8.4
kroA100(21282),"RL+GA, Method=sarsa_rl, Gamma=0.01, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",22946,23704,7.8
kroA100(21282),"RL+GA, Method=sarsa_rl, Gamma=0.15, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",23882,25188,12.2
kroA100(21282),"RL+GA, Method=sarsa_rl, Gamma=0.15, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",24182,24976,13.6
kroA100(21282),"RL+GA, Method=sarsa_rl, Gamma=0.3, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",25447,27210,19.6
kroA100(21282),"RL+GA, Method=sarsa_rl, Gamma=0.3, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",25638,27206,20.5
kroA100(21282),"RL, Method=double_q_learning, Gamma=0.01, Reward=1, Epsilon=1",24482,27169,15.0
kroA100(21282),"RL, Method=double_q_learning, Gamma=0.15, Reward=1, Epsilon=1",29519,32837,38.7
kroA100(21282),"RL, Method=double_q_learning, Gamma=0.3, Reward=1, Epsilon=1",31882,36366,49.8
kroA100(21282),"RL, Method=q_learning, Gamma=0.01, Reward=1, Epsilon=1",24482,27169,15.0
kroA100(21282),"RL, Method=q_learning, Gamma=0.15, Reward=1, Epsilon=1",29519,32837,38.7
kroA100(21282),"RL, Method=q_learning, Gamma=0.3, Reward=1, Epsilon=1",31882,36366,49.8
kroA100(21282),"RL, Method=sarsa, Gamma=0.01, Reward=1, Epsilon=1",24614,27275,15.7
kroA100(21282),"RL, Method=sarsa, Gamma=0.15, Reward=1, Epsilon=1",25957,30757,22.0
kroA100(21282),"RL, Method=sarsa, Gamma=0.3, Reward=1, Epsilon=1",28509,33480,34.0
pr107(44303),"GA, Elitist, Pop=100, Mut=0.01.",69290,83271,56.4
pr107(44303),"GA, Roulette, Pop=100, Mut=0.01.",110227,146872,148.8
pr107(44303),"RL+GA, Method=double_q_learning_rl, Gamma=0.01, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",45991,46701,3.8
pr107(44303),"RL+GA, Method=double_q_learning_rl, Gamma=0.01, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",45844,46853,3.5
pr107(44303),"RL+GA, Method=double_q_learning_rl, Gamma=0.15, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",47226,48408,6.6
pr107(44303),"RL+GA, Method=double_q_learning_rl, Gamma=0.15, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",46698,47491,5.4
pr107(44303),"RL+GA, Method=double_q_learning_rl, Gamma=0.3, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",49908,52610,12.7
pr107(44303),"RL+GA, Method=double_q_learning_rl, Gamma=0.3, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",50331,52718,13.6
pr107(44303),"RL+GA, Method=q_learning_rl, Gamma=0.01, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",45991,46701,3.8
pr107(44303),"RL+GA, Method=q_learning_rl, Gamma=0.01, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",45844,46853,3.5
pr107(44303),"RL+GA, Method=q_learning_rl, Gamma=0.15, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",47226,48408,6.6
pr107(44303),"RL+GA, Method=q_learning_rl, Gamma=0.15, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",46698,47491,5.4
pr107(44303),"RL+GA, Method=q_learning_rl, Gamma=0.3, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",49908,52610,12.7
pr107(44303),"RL+GA, Method=q_learning_rl, Gamma=0.3, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",50331,52718,13.6
pr107(44303),"RL+GA, Method=sarsa_rl, Gamma=0.01, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",45982,46965,3.8
pr107(44303),"RL+GA, Method=sarsa_rl, Gamma=0.01, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",45738,46721,3.2
pr107(44303),"RL+GA, Method=sarsa_rl, Gamma=0.15, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",46894,47739,5.8
pr107(44303),"RL+GA, Method=sarsa_rl, Gamma=0.15, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",46263,47102,4.4
pr107(44303),"RL+GA, Method=sarsa_rl, Gamma=0.3, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",46748,48163,5.5
pr107(44303),"RL+GA, Method=sarsa_rl, Gamma=0.3, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",46433,47594,4.8
pr107(44303),"RL, Method=double_q_learning, Gamma=0.01, Reward=1, Epsilon=1",48462,54958,9.4
pr107(44303),"RL, Method=double_q_learning, Gamma=0.15, Reward=1, Epsilon=1",49351,58785,11.4
pr107(44303),"RL, Method=double_q_learning, Gamma=0.3, Reward=1, Epsilon=1",54476,64301,23.0
pr107(44303),"RL, Method=q_learning, Gamma=0.01, Reward=1, Epsilon=1",48462,54958,9.4
pr107(44303),"RL, Method=q_learning, Gamma=0.15, Reward=1, Epsilon=1",49351,58785,11.4
pr107(44303),"RL, Method=q_learning, Gamma=0.3, Reward=1, Epsilon=1",54476,64301,23.0
pr107(44303),"RL, Method=sarsa, Gamma=0.01, Reward=1, Epsilon=1",48769,54187,10.1
pr107(44303),"RL, Method=sarsa, Gamma=0.15, Reward=1, Epsilon=1",48795,57051,10.1
pr107(44303),"RL, Method=sarsa, Gamma=0.3, Reward=1, Epsilon=1",49431,60270,11.6
st70(675),"GA, Elitist, Pop=100, Mut=0.01.",785,899,16.4
st70(675),"GA, Roulette, Pop=100, Mut=0.01.",1059,1244,56.9
st70(675),"RL+GA, Method=double_q_learning_rl, Gamma=0.01, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",708,739,4.9
st70(675),"RL+GA, Method=double_q_learning_rl, Gamma=0.01, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",717,742,6.2
st70(675),"RL+GA, Method=double_q_learning_rl, Gamma=0.15, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",724,772,7.3
st70(675),"RL+GA, Method=double_q_learning_rl, Gamma=0.15, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",722,770,7.0
st70(675),"RL+GA, Method=double_q_learning_rl, Gamma=0.3, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",755,811,11.9
st70(675),"RL+GA, Method=double_q_learning_rl, Gamma=0.3, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",742,793,9.9
st70(675),"RL+GA, Method=q_learning_rl, Gamma=0.01, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",708,739,4.9
st70(675),"RL+GA, Method=q_learning_rl, Gamma=0.01, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",717,742,6.2
st70(675),"RL+GA, Method=q_learning_rl, Gamma=0.15, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",724,772,7.3
st70(675),"RL+GA, Method=q_learning_rl, Gamma=0.15, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",722,770,7.0
st70(675),"RL+GA, Method=q_learning_rl, Gamma=0.3, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",755,811,11.9
st70(675),"RL+GA, Method=q_learning_rl, Gamma=0.3, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",742,793,9.9
st70(675),"RL+GA, Method=sarsa_rl, Gamma=0.01, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",708,738,4.9
st70(675),"RL+GA, Method=sarsa_rl, Gamma=0.01, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",715,742,5.9
st70(675),"RL+GA, Method=sarsa_rl, Gamma=0.15, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",708,746,4.9
st70(675),"RL+GA, Method=sarsa_rl, Gamma=0.15, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",716,742,6.1
st70(675),"RL+GA, Method=sarsa_rl, Gamma=0.3, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",732,769,8.4
st70(675),"RL+GA, Method=sarsa_rl, Gamma=0.3, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",722,763,7.0
st70(675),"RL, Method=double_q_learning, Gamma=0.01, Reward=1, Epsilon=1",776,822,15.0
st70(675),"RL, Method=double_q_learning, Gamma=0.15, Reward=1, Epsilon=1",817,925,21.0
st70(675),"RL, Method=double_q_learning, Gamma=0.3, Reward=1, Epsilon=1",886,1012,31.3
st70(675),"RL, Method=q_learning, Gamma=0.01, Reward=1, Epsilon=1",776,822,15.0
st70(675),"RL, Method=q_learning, Gamma=0.15, Reward=1, Epsilon=1",817,925,21.0
st70(675),"RL, Method=q_learning, Gamma=0.3, Reward=1, Epsilon=1",886,1012,31.3
st70(675),"RL, Method=sarsa, Gamma=0.01, Reward=1, Epsilon=1",767,823,13.6
st70(675),"RL, Method=sarsa, Gamma=0.15, Reward=1, Epsilon=1",770,890,14.1
st70(675),"RL, Method=sarsa, Gamma=0.3, Reward=1, Epsilon=1",826,940,22.4
